aspect,count_positive,count_negative
Halsbändern,0,1
MitarbeiterAnsonsten,0,1
Limoservice,0,1
High Light,0,1
Lieferung,0,2
Lagerhaltung,0,1
Ladenvon,0,1
Küchen,0,0
Hornbachs,0,1
Kassen Personal,0,1
Gartenmöbel,0,1
Personals,0,1
Verkaufsberater,0,1
Dach Fenster,0,0
Buchenholz,0,1
Central OfficeÜbersetzt,0,0
Transportunternehmen,0,1
Transporter,0,1
Christbäume,0,1
Corona,0,1
Support,0,1
Stufenplatten,0,1
Steckmuffen,0,1
Stab,0,1
Kassen,0,1
Fachberater,0,1
Diesel,0,1
Security,0,1
Salat,0,1
Rückabwicklung,0,1
Regeln,0,1
Eintritt,0,1
Emailadresse,0,1
Preise Ware,0,1
Essen Essen,0,1
Etikett,0,1
Öl,0,0
